"","VanID","mail.itt","phone.itt","lit.itt","text.itt","precinct","zone","group","mail.pp","phone.pp","lit.pp","text.pp","applied","mail.apply","phone.apply","lit.apply","text.apply","voted","mail.voted","phone.voted","lit.voted","text.voted","age","sex"
"1",38623,"N","Y","Y","N","Upper Oxford",3,8,"N","Y","N","N","A","Y","Y","X","Y","mail","Y","Y","X","Y",70,"F"
"2",52292,"Y","N","Y","N","Upper Oxford",3,6,"Y","N","N","N","N","N","N","N","N","polls","N","N","N","N",NA,NA
"3",80313,"Y","N","Y","N","London Britain",3,6,"Y","N","Y","N","N","N","N","N","N","polls","N","N","N","N",NA,NA
"4",81987,"Y","N","N","N","Westtown 1",6,1,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"5",90696,"N","N","Y","Y","East Nottingham West",3,10,"N","N","Y","N","B","X","X","X","X","N","N","N","N","N",NA,NA
"6",100621,"Y","Y","N","N","London Grove S",3,5,"Y","Y","N","N","N","N","N","N","N","N","N","N","N","N",53,"F"
"7",106086,"N","N","N","Y","Oxford W",3,4,"N","N","N","Y","N","N","N","N","N","polls","N","N","N","N",48,"F"
"8",109139,"N","N","Y","Y","Westtown 1",6,10,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"9",109842,"N","N","N","Y","Oxford W",3,4,"N","N","N","Y","N","N","N","N","N","polls","N","N","N","N",61,"F"
"10",115364,"N","N","Y","Y","Franklin",3,10,"N","N","N","Y","N","N","N","N","N","N","N","N","N","N",55,"M"
"11",142083,"N","N","N","Y","W Fallowfield",3,4,"N","N","N","Y","B","X","X","X","X","mail","X","X","X","X",58,"F"
"12",226252,"N","Y","N","Y","Oxford E",3,9,"N","N","N","N","N","N","N","N","N","polls","N","N","N","N",NA,NA
"13",226925,"Y","N","Y","N","Westtown 4",6,6,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"14",237640,"N","N","Y","Y","Upper Oxford",3,10,"N","N","N","Y","N","N","N","N","N","polls","N","N","N","N",40,"F"
"15",278310,"N","Y","Y","N","Londonderry",3,8,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"16",308087,"Y","N","N","Y","Londonderry",3,7,"Y","N","N","Y","N","N","N","N","N","N","N","N","N","N",57,"M"
"17",325403,"N","Y","N","Y","Westtown 2",6,9,"N","N","N","N","B","X","X","X","X","mail","X","X","X","X",81,"M"
"18",357998,"N","Y","N","N","W Fallowfield",3,2,"N","Y","N","N","N","N","N","N","N","N","N","N","N","N",70,"F"
"19",365161,"Y","N","Y","N","Westtown 4",6,6,"Y","N","N","N","N","N","N","N","N","polls","N","N","N","N",NA,NA
"20",369611,"Y","N","N","N","Penn",3,1,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"21",370191,"Y","N","Y","N","Penn",3,6,"Y","N","N","N","A","Y","Y","X","Y","mail","Y","Y","X","Y",70,"F"
"22",380252,"N","Y","N","N","Birmingham 2",6,2,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"23",391518,"N","N","Y","Y","Penn",3,10,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"24",396512,"N","Y","N","Y","East Nottingham West",3,9,"N","N","N","Y","N","N","N","N","N","polls","N","N","N","N",42,"M"
"25",401256,"N","N","Y","Y","Westtown 5",6,10,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"26",410253,"N","N","Y","Y","Franklin",3,10,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"27",420527,"Y","N","N","Y","Thornbury 2",6,7,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"28",421826,"Y","N","Y","N","Westtown 3",6,6,"Y","N","Y","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"29",424383,"N","N","Y","N","New London",3,3,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"30",432181,"Y","Y","N","N","Westtown 4",6,5,"Y","N","N","N","N","N","N","N","N","polls","N","N","N","N",NA,NA
"31",432697,"N","N","Y","N","Oxford W",3,3,"N","N","Y","N","N","N","N","N","N","polls","N","N","N","N",NA,NA
"32",435102,"Y","N","N","Y","London Britain",3,7,"Y","N","N","N","N","N","N","N","N","polls","N","N","N","N",NA,NA
"33",445142,"N","N","Y","N","Birmingham 1",6,3,"N","N","Y","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"34",447735,"N","N","Y","N","Birmingham 1",6,3,"N","N","Y","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"35",454934,"N","Y","N","Y","Oxford W",3,9,"N","N","N","N","N","N","N","N","N","polls","N","N","N","N",NA,NA
"36",456385,"N","Y","N","N","Birmingham 1",6,2,"N","N","N","N","N","N","N","N","N","polls","N","N","N","N",NA,NA
"37",460806,"Y","N","N","Y","New London",3,7,"Y","N","N","N","N","N","N","N","N","polls","N","N","N","N",NA,NA
"38",467593,"N","Y","Y","N","Penn",3,8,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"39",471986,"N","N","Y","Y","Westtown 3",6,10,"N","N","Y","N","N","N","N","N","N","polls","N","N","N","N",NA,NA
"40",497776,"Y","Y","N","N","W Nottingham",3,5,"Y","N","N","N","N","N","N","N","N","polls","N","N","N","N",NA,NA
"41",508520,"N","N","N","Y","New London",3,4,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"42",525581,"Y","N","Y","N","Lower Oxford W",3,6,"Y","N","Y","N","N","N","N","N","N","polls","N","N","N","N",NA,NA
"43",528355,"N","Y","Y","N","Birmingham 1",6,8,"N","N","Y","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"44",530062,"N","Y","N","Y","W Nottingham",3,9,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"45",530091,"N","N","N","Y","Westtown 1",6,4,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"46",530105,"N","N","N","Y","Westtown 1",6,4,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"47",530118,"N","N","N","Y","Penn",3,4,"N","N","N","Y","N","N","N","N","N","N","N","N","N","N",83,"M"
"48",530159,"Y","N","Y","N","Penn",3,6,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"49",530176,"N","Y","N","Y","Penn",3,9,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"50",530184,"Y","N","N","Y","Oxford W",3,7,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"51",530213,"Y","N","Y","N","New London",3,6,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"52",532909,"N","N","Y","N","Westtown 1",6,3,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"53",532914,"N","Y","N","Y","Oxford W",3,9,"N","N","N","Y","N","N","N","N","N","N","N","N","N","N",64,"M"
"54",532946,"N","Y","N","Y","New London",3,9,"N","N","N","N","N","N","N","N","N","polls","N","N","N","N",NA,NA
"55",532949,"Y","Y","N","N","London Britain",3,5,"Y","N","N","N","N","N","N","N","N","polls","N","N","N","N",NA,NA
"56",532950,"N","N","Y","N","Westtown 2",6,3,"N","N","Y","N","N","N","N","N","N","polls","N","N","N","N",NA,NA
"57",532984,"N","Y","Y","N","Oxford W",3,8,"N","N","N","N","N","N","N","N","N","polls","N","N","N","N",NA,NA
"58",537236,"Y","N","N","N","Westtown 1",6,1,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"59",537280,"N","N","Y","Y","Lower Oxford E",3,10,"N","N","Y","Y","B","X","X","X","X","N","N","N","N","N",48,"F"
"60",537388,"Y","N","N","N","West Grove 2",3,1,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"61",541282,"N","N","Y","Y","Penn",3,10,"N","N","N","Y","N","N","N","N","N","N","N","N","N","N",47,"M"
"62",541286,"N","Y","N","N","Oxford E",3,2,"N","Y","N","N","N","N","N","N","N","N","N","N","N","N",63,"F"
"63",541356,"N","Y","Y","N","Oxford E",3,8,"N","Y","Y","N","N","N","N","N","N","N","N","N","N","N",42,"M"
"64",541367,"Y","N","Y","N","East Nottingham West",3,6,"Y","N","Y","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"65",541742,"Y","N","Y","N","London Grove S",3,6,"Y","N","Y","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"66",543179,"N","Y","N","N","Westtown 2",6,2,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"67",544779,"Y","Y","N","N","Upper Oxford",3,5,"Y","Y","N","N","N","N","N","N","N","polls","N","N","N","N",57,"F"
"68",544840,"Y","N","Y","N","Oxford W",3,6,"Y","N","Y","N","N","N","N","N","N","polls","N","N","N","N",NA,NA
"69",544859,"N","Y","N","Y","Westtown 2",6,9,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"70",545012,"Y","Y","N","N","East Nottingham West",3,5,"Y","Y","N","N","N","N","N","N","N","N","N","N","N","N",49,"F"
"71",545028,"Y","N","N","Y","West Grove 1",3,7,"Y","N","N","N","N","N","N","N","N","polls","N","N","N","N",NA,NA
"72",545063,"Y","N","Y","N","London Grove S",3,6,"Y","N","Y","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"73",548041,"N","Y","N","Y","Londonderry",3,9,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",40,"F"
"74",548062,"N","N","Y","N","London Grove S",3,3,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"75",548435,"N","Y","Y","N","West Grove 1",3,8,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"76",548486,"Y","N","N","Y","Westtown 5",6,7,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"77",548520,"Y","N","Y","N","West Grove 1",3,6,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"78",551076,"N","N","Y","Y","London Grove S",3,10,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"79",551181,"Y","Y","N","N","London Britain",3,5,"Y","Y","N","N","N","N","N","N","N","N","N","N","N","N",40,"F"
"80",551492,"N","N","Y","N","Westtown 2",6,3,"N","N","Y","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"81",551531,"N","Y","N","N","West Grove 1",3,2,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"82",551587,"Y","N","N","N","Penn",3,1,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"83",551601,"N","Y","N","N","East Nottingham East",3,2,"N","Y","N","N","N","N","N","N","N","N","N","N","N","N",37,"F"
"84",554956,"N","N","Y","N","Oxford E",3,3,"N","N","Y","N","N","N","N","N","N","polls","N","N","N","N",NA,NA
"85",554963,"N","Y","Y","N","Penn",3,8,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"86",555003,"N","N","N","Y","Londonderry",3,4,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
