obsID,precinct,zone,group,mail.pp,phone.pp,lit.pp,text.pp,applied,mail.apply,phone.apply,lit.apply,text.apply,voted,mail.voted,phone.voted,lit.voted,text.voted
1,Franklin,3,7,Y,N,N,N,B,X,X,X,X,mail,X,X,X,X
2,East Nottingham West,3,6,Y,N,Y,N,B,X,X,X,X,N,N,N,N,N
3,Franklin,3,8,N,N,N,N,B,X,X,X,X,mail,X,X,X,X
4,London Britain,3,8,N,N,Y,N,B,X,X,X,X,N,N,N,N,N
5,Franklin,3,8,N,Y,N,N,B,X,X,X,X,mail,X,X,X,X
6,London Britain,3,8,N,N,Y,N,B,X,X,X,X,N,N,N,N,N
7,London Britain,3,4,N,N,N,N,B,X,X,X,X,N,N,N,N,N
8,Highland,3,6,Y,N,Y,N,B,X,X,X,X,mail,X,X,X,X
9,East Nottingham East,3,8,N,Y,Y,N,B,X,X,X,X,polls,X,X,X,X
10,East Nottingham East,3,3,N,N,Y,N,B,X,X,X,X,N,N,N,N,N
11,East Nottingham East,3,3,N,N,Y,N,B,X,X,X,X,mail,X,X,X,X
12,Franklin,3,1,Y,N,N,N,B,X,X,X,X,N,N,N,N,N
13,Highland,3,10,N,N,Y,N,B,X,X,X,X,mail,X,X,X,X
14,Franklin,3,4,N,N,N,N,B,X,X,X,X,mail,X,X,X,X
15,Franklin,3,4,N,N,N,Y,B,X,X,X,X,mail,X,X,X,X
16,Franklin,3,9,N,N,N,N,B,X,X,X,X,mail,X,X,X,X
17,East Nottingham West,3,10,N,N,Y,N,B,X,X,X,X,mail,X,X,X,X
18,East Nottingham East,3,5,Y,N,N,N,B,X,X,X,X,mail,X,X,X,X
19,London Britain,3,7,Y,N,N,Y,B,X,X,X,X,mail,X,X,X,X
20,Franklin,3,1,Y,N,N,N,B,X,X,X,X,mail,X,X,X,X
21,Franklin,3,4,N,N,N,Y,B,X,X,X,X,mail,X,X,X,X
22,East Nottingham East,3,6,Y,N,Y,N,B,X,X,X,X,mail,X,X,X,X
23,Elk,3,4,N,N,N,Y,B,X,X,X,X,mail,X,X,X,X
24,London Britain,3,10,N,N,Y,N,B,X,X,X,X,mail,X,X,X,X
25,East Nottingham West,3,10,N,N,Y,N,B,X,X,X,X,N,N,N,N,N
26,East Nottingham West,3,6,Y,N,Y,N,B,X,X,X,X,mail,X,X,X,X
27,Franklin,3,5,Y,N,N,N,B,X,X,X,X,mail,X,X,X,X
28,Franklin,3,4,N,N,N,N,B,X,X,X,X,N,N,N,N,N
29,East Nottingham West,3,7,Y,N,N,N,B,X,X,X,X,N,N,N,N,N
30,London Britain,3,1,Y,N,N,N,B,X,X,X,X,mail,X,X,X,X
31,East Nottingham West,3,9,N,N,N,N,B,X,X,X,X,N,N,N,N,N
32,East Nottingham West,3,9,N,N,N,N,B,X,X,X,X,N,N,N,N,N
33,London Britain,3,3,N,N,Y,N,B,X,X,X,X,mail,X,X,X,X
34,Franklin,3,9,N,N,N,N,B,X,X,X,X,mail,X,X,X,X
35,East Nottingham East,3,1,Y,N,N,N,B,X,X,X,X,mail,X,X,X,X
36,East Nottingham East,3,3,N,N,Y,N,B,X,X,X,X,N,N,N,N,N
37,East Nottingham East,3,1,Y,N,N,N,B,X,X,X,X,mail,X,X,X,X
38,East Nottingham West,3,5,Y,Y,N,N,B,X,X,X,X,mail,X,X,X,X
39,East Nottingham East,3,3,N,N,Y,N,B,X,X,X,X,N,N,N,N,N
40,Elk,3,9,N,N,N,Y,B,X,X,X,X,mail,X,X,X,X
41,London Britain,3,3,N,N,Y,N,B,X,X,X,X,mail,X,X,X,X
42,Franklin,3,10,N,N,N,Y,B,X,X,X,X,mail,X,X,X,X
43,London Britain,3,2,N,N,N,N,B,X,X,X,X,mail,X,X,X,X
44,Franklin,3,7,Y,N,N,N,B,X,X,X,X,N,N,N,N,N
45,Franklin,3,7,Y,N,N,Y,B,X,X,X,X,mail,X,X,X,X
46,Franklin,3,7,Y,N,N,Y,B,X,X,X,X,mail,X,X,X,X
47,London Britain,3,7,Y,N,N,N,B,X,X,X,X,N,N,N,N,N
48,East Nottingham West,3,10,N,N,Y,N,B,X,X,X,X,mail,X,X,X,X
49,London Britain,3,9,N,Y,N,N,B,X,X,X,X,mail,X,X,X,X
50,London Britain,3,7,Y,N,N,N,B,X,X,X,X,mail,X,X,X,X
51,London Britain,3,5,Y,N,N,N,B,X,X,X,X,N,N,N,N,N
52,East Nottingham West,3,6,Y,N,Y,N,B,X,X,X,X,mail,X,X,X,X
53,East Nottingham East,3,6,Y,N,Y,N,B,X,X,X,X,mail,X,X,X,X
54,Franklin,3,7,Y,N,N,Y,B,X,X,X,X,mail,X,X,X,X
55,London Britain,3,8,N,Y,Y,N,B,X,X,X,X,mail,X,X,X,X
56,Franklin,3,7,Y,N,N,Y,B,X,X,X,X,mail,X,X,X,X
57,London Britain,3,6,Y,N,Y,N,B,X,X,X,X,N,N,N,N,N
58,London Britain,3,4,N,N,N,N,B,X,X,X,X,mail,X,X,X,X
59,Franklin,3,4,N,N,N,N,B,X,X,X,X,mail,X,X,X,X
60,Franklin,3,4,N,N,N,Y,B,X,X,X,X,N,N,N,N,N
61,East Nottingham West,3,7,Y,N,N,N,B,X,X,X,X,N,N,N,N,N
62,Franklin,3,8,N,Y,N,N,B,X,X,X,X,mail,X,X,X,X
63,East Nottingham West,3,3,N,N,Y,N,B,X,X,X,X,mail,X,X,X,X
64,East Nottingham West,3,3,N,N,Y,N,B,X,X,X,X,N,N,N,N,N
65,East Nottingham West,3,3,N,N,Y,N,B,X,X,X,X,N,N,N,N,N
66,East Nottingham West,3,10,N,N,Y,N,B,X,X,X,X,N,N,N,N,N
67,East Nottingham West,3,5,Y,N,N,N,B,X,X,X,X,mail,X,X,X,X
68,East Nottingham West,3,8,N,N,Y,N,B,X,X,X,X,N,N,N,N,N
69,Franklin,3,2,N,Y,N,N,B,X,X,X,X,N,N,N,N,N
70,East Nottingham East,3,4,N,N,N,Y,B,X,X,X,X,mail,X,X,X,X
71,East Nottingham East,3,3,N,N,Y,N,B,X,X,X,X,mail,X,X,X,X
72,London Britain,3,3,N,N,Y,N,B,X,X,X,X,N,N,N,N,N
73,Franklin,3,4,N,N,N,N,B,X,X,X,X,mail,X,X,X,X
74,London Britain,3,7,Y,N,N,N,B,X,X,X,X,mail,X,X,X,X
75,Franklin,3,4,N,N,N,N,B,X,X,X,X,mail,X,X,X,X
76,London Britain,3,6,Y,N,Y,N,B,X,X,X,X,prov,X,X,X,X
77,Highland,3,6,Y,N,Y,N,B,X,X,X,X,mail,X,X,X,X
78,Highland,3,1,Y,N,N,N,B,X,X,X,X,N,N,N,N,N
79,East Nottingham East,3,1,Y,N,N,N,B,X,X,X,X,N,N,N,N,N
80,Franklin,3,1,Y,N,N,N,B,X,X,X,X,N,N,N,N,N
81,Franklin,3,1,Y,N,N,N,B,X,X,X,X,mail,X,X,X,X
82,East Nottingham East,3,2,N,N,N,N,B,X,X,X,X,mail,X,X,X,X
83,Elk,3,6,Y,N,N,N,B,X,X,X,X,mail,X,X,X,X
84,East Nottingham East,3,8,N,N,Y,N,B,X,X,X,X,mail,X,X,X,X
85,East Nottingham East,3,5,Y,N,N,N,B,X,X,X,X,mail,X,X,X,X
86,East Nottingham East,3,6,Y,N,Y,N,B,X,X,X,X,N,N,N,N,N
87,Elk,3,1,Y,N,N,N,B,X,X,X,X,mail,X,X,X,X
88,Franklin,3,4,N,N,N,Y,B,X,X,X,X,N,N,N,N,N
89,London Britain,3,10,N,N,Y,N,B,X,X,X,X,N,N,N,N,N
90,London Britain,3,9,N,N,N,N,B,X,X,X,X,mail,X,X,X,X
91,London Britain,3,4,N,N,N,N,B,X,X,X,X,N,N,N,N,N
92,East Nottingham West,3,6,Y,N,Y,N,B,X,X,X,X,N,N,N,N,N
93,Franklin,3,3,N,N,N,N,B,X,X,X,X,mail,X,X,X,X
94,East Nottingham East,3,7,Y,N,N,Y,B,X,X,X,X,mail,X,X,X,X
95,Highland,3,7,Y,N,N,Y,B,X,X,X,X,mail,X,X,X,X
96,Franklin,3,8,N,N,N,N,B,X,X,X,X,mail,X,X,X,X
97,Highland,3,5,Y,N,N,N,B,X,X,X,X,N,N,N,N,N
98,Highland,3,5,Y,N,N,N,B,X,X,X,X,N,N,N,N,N
99,London Britain,3,3,N,N,Y,N,B,X,X,X,X,polls,X,X,X,X
100,Elk,3,10,N,N,N,N,B,X,X,X,X,N,N,N,N,N
101,East Nottingham West,3,8,N,Y,Y,N,B,X,X,X,X,mail,X,X,X,X
102,Elk,3,5,Y,Y,N,N,B,X,X,X,X,mail,X,X,X,X
103,East Nottingham East,3,6,Y,N,Y,N,B,X,X,X,X,N,N,N,N,N
104,Elk,3,10,N,N,N,N,B,X,X,X,X,mail,X,X,X,X
105,East Nottingham West,3,9,N,N,N,Y,B,X,X,X,X,N,N,N,N,N
106,East Nottingham West,3,1,Y,N,N,N,B,X,X,X,X,mail,X,X,X,X
107,London Britain,3,9,N,N,N,N,B,X,X,X,X,mail,X,X,X,X
108,London Britain,3,9,N,Y,N,N,B,X,X,X,X,mail,X,X,X,X
109,London Britain,3,8,N,N,Y,N,B,X,X,X,X,polls,X,X,X,X
110,Franklin,3,3,N,N,N,N,B,X,X,X,X,mail,X,X,X,X
111,Elk,3,9,N,Y,N,N,B,X,X,X,X,N,N,N,N,N
112,London Britain,3,2,N,N,N,N,B,X,X,X,X,N,N,N,N,N
113,Franklin,3,8,N,N,N,N,B,X,X,X,X,N,N,N,N,N
114,London Britain,3,5,Y,Y,N,N,B,X,X,X,X,N,N,N,N,N
115,London Britain,3,1,Y,N,N,N,B,X,X,X,X,mail,X,X,X,X
116,Elk,3,3,N,N,N,N,B,X,X,X,X,mail,X,X,X,X
117,Highland,3,5,Y,Y,N,N,B,X,X,X,X,mail,X,X,X,X
118,Franklin,3,2,N,N,N,N,B,X,X,X,X,mail,X,X,X,X
119,Franklin,3,2,N,N,N,N,B,X,X,X,X,mail,X,X,X,X
120,East Nottingham East,3,5,Y,Y,N,N,B,X,X,X,X,mail,X,X,X,X
121,Elk,3,7,Y,N,N,N,B,X,X,X,X,mail,X,X,X,X
122,Elk,3,7,Y,N,N,Y,B,X,X,X,X,mail,X,X,X,X
123,Franklin,3,1,Y,N,N,N,B,X,X,X,X,mail,X,X,X,X
124,East Nottingham East,3,8,N,N,Y,N,B,X,X,X,X,prov,X,X,X,X
125,Franklin,3,8,N,N,N,N,B,X,X,X,X,mail,X,X,X,X
126,London Britain,3,8,N,N,Y,N,B,X,X,X,X,N,N,N,N,N
127,London Britain,3,8,N,N,Y,N,B,X,X,X,X,N,N,N,N,N
128,East Nottingham East,3,3,N,N,Y,N,B,X,X,X,X,mail,X,X,X,X
129,London Britain,3,8,N,Y,Y,N,B,X,X,X,X,N,N,N,N,N
130,London Britain,3,4,N,N,N,N,B,X,X,X,X,mail,X,X,X,X
131,East Nottingham East,3,4,N,N,N,N,B,X,X,X,X,N,N,N,N,N
132,Franklin,3,10,N,N,N,N,B,X,X,X,X,mail,X,X,X,X
133,Elk,3,9,N,N,N,N,B,X,X,X,X,mail,X,X,X,X
134,East Nottingham East,3,3,N,N,Y,N,B,X,X,X,X,mail,X,X,X,X
135,Franklin,3,6,Y,N,N,N,B,X,X,X,X,mail,X,X,X,X
136,Franklin,3,6,Y,N,N,N,B,X,X,X,X,mail,X,X,X,X
137,Franklin,3,3,N,N,N,N,B,X,X,X,X,mail,X,X,X,X
138,Franklin,3,1,Y,N,N,N,B,X,X,X,X,N,N,N,N,N
139,East Nottingham East,3,3,N,N,Y,N,B,X,X,X,X,mail,X,X,X,X
140,Highland,3,9,N,N,N,Y,B,X,X,X,X,N,N,N,N,N
141,London Britain,3,5,Y,N,N,N,B,X,X,X,X,mail,X,X,X,X
142,Elk,3,9,N,Y,N,N,B,X,X,X,X,mail,X,X,X,X
143,Franklin,3,10,N,N,N,Y,B,X,X,X,X,mail,X,X,X,X
144,London Britain,3,10,N,N,Y,N,B,X,X,X,X,N,N,N,N,N
145,Franklin,3,10,N,N,N,N,B,X,X,X,X,mail,X,X,X,X
146,East Nottingham West,3,10,N,N,Y,Y,B,X,X,X,X,N,N,N,N,N
147,Franklin,3,1,Y,N,N,N,B,X,X,X,X,mail,X,X,X,X
148,Franklin,3,6,Y,N,N,N,B,X,X,X,X,N,N,N,N,N
149,Highland,3,1,Y,N,N,N,B,X,X,X,X,N,N,N,N,N
150,London Britain,3,1,Y,N,N,N,B,X,X,X,X,mail,X,X,X,X
151,East Nottingham East,3,10,N,N,Y,Y,B,X,X,X,X,mail,X,X,X,X
152,Elk,3,6,Y,N,N,N,B,X,X,X,X,mail,X,X,X,X
153,London Britain,3,4,N,N,N,N,B,X,X,X,X,N,N,N,N,N
154,Elk,3,2,N,Y,N,N,B,X,X,X,X,mail,X,X,X,X
155,Franklin,3,8,N,Y,N,N,B,X,X,X,X,N,N,N,N,N
156,Franklin,3,5,Y,N,N,N,B,X,X,X,X,N,N,N,N,N
157,Franklin,3,10,N,N,N,Y,B,X,X,X,X,N,N,N,N,N
158,Franklin,3,10,N,N,N,Y,B,X,X,X,X,N,N,N,N,N
159,Franklin,3,9,N,N,N,Y,B,X,X,X,X,mail,X,X,X,X
160,Franklin,3,9,N,Y,N,Y,B,X,X,X,X,prov,X,X,X,X
161,London Britain,3,6,Y,N,Y,N,B,X,X,X,X,mail,X,X,X,X
162,Highland,3,3,N,N,Y,N,B,X,X,X,X,N,N,N,N,N
163,London Britain,3,6,Y,N,Y,N,B,X,X,X,X,mail,X,X,X,X
164,East Nottingham West,3,10,N,N,Y,N,B,X,X,X,X,mail,X,X,X,X
165,East Nottingham East,3,2,N,Y,N,N,B,X,X,X,X,mail,X,X,X,X
166,East Nottingham East,3,2,N,Y,N,N,B,X,X,X,X,mail,X,X,X,X
167,Franklin,3,5,Y,N,N,N,B,X,X,X,X,N,N,N,N,N
168,East Nottingham West,3,8,N,N,Y,N,B,X,X,X,X,mail,X,X,X,X
169,East Nottingham West,3,3,N,N,Y,N,B,X,X,X,X,N,N,N,N,N
170,Franklin,3,4,N,N,N,Y,B,X,X,X,X,N,N,N,N,N
